date,asset_id,size,momentum_6m,roa,share_turnover
2020-01-31,NVDA,11.2,0.35,0.12,0.45
2020-02-29,NVDA,11.3,0.37,0.13,0.42
2020-03-31,NVDA,11.5,0.41,0.14,0.48
2020-04-30,NVDA,11.7,0.44,0.15,0.46
2020-05-31,NVDA,11.9,0.46,0.16,0.47
2020-01-31,AMD,10.1,0.28,0.10,0.52
2020-02-29,AMD,10.3,0.31,0.11,0.50
2020-03-31,AMD,10.4,0.33,0.12,0.49
2020-04-30,AMD,10.6,0.36,0.13,0.51
2020-05-31,AMD,10.8,0.39,0.14,0.53
2020-01-31,INTC,11.0,0.15,0.18,0.33
2020-02-29,INTC,11.1,0.16,0.19,0.34
2020-03-31,INTC,11.2,0.17,0.20,0.32
2020-04-30,INTC,11.3,0.19,0.21,0.31
2020-05-31,INTC,11.4,0.20,0.22,0.30
2020-01-31,QCOM,10.5,0.21,0.17,0.38
2020-02-29,QCOM,10.6,0.23,0.18,0.39
2020-03-31,QCOM,10.7,0.25,0.19,0.40
2020-04-30,QCOM,10.8,0.27,0.20,0.41
2020-05-31,QCOM,11.0,0.30,0.21,0.42
2020-01-31,TXN,10.9,0.18,0.16,0.29
2020-02-29,TXN,11.0,0.19,0.17,0.28
2020-03-31,TXN,11.1,0.21,0.18,0.27
2020-04-30,TXN,11.2,0.22,0.19,0.26
2020-05-31,TXN,11.3,0.24,0.20,0.25
2020-01-31,AVGO,11.4,0.26,0.15,0.36
2020-02-29,AVGO,11.5,0.27,0.16,0.35
2020-03-31,AVGO,11.6,0.29,0.17,0.34
2020-04-30,AVGO,11.7,0.30,0.18,0.33
2020-05-31,AVGO,11.8,0.32,0.19,0.32
2020-01-31,ASML,11.6,0.40,0.22,0.31
2020-02-29,ASML,11.7,0.42,0.23,0.30
2020-03-31,ASML,11.8,0.44,0.24,0.29
2020-04-30,ASML,11.9,0.46,0.25,0.28
2020-05-31,ASML,12.0,0.48,0.26,0.27
2020-01-31,ADI,10.7,0.22,0.16,0.37
2020-02-29,ADI,10.8,0.23,0.17,0.36
2020-03-31,ADI,10.9,0.25,0.18,0.35
2020-04-30,ADI,11.0,0.27,0.19,0.34
2020-05-31,ADI,11.1,0.28,0.20,0.33
2020-01-31,MU,10.2,0.30,0.11,0.55
2020-02-29,MU,10.3,0.31,0.12,0.54
2020-03-31,MU,10.4,0.33,0.13,0.53
2020-04-30,MU,10.6,0.35,0.14,0.52
2020-05-31,MU,10.7,0.37,0.15,0.51
2020-01-31,KLAC,10.8,0.29,0.18,0.38
2020-02-29,KLAC,10.9,0.30,0.19,0.37
2020-03-31,KLAC,11.0,0.32,0.20,0.36
2020-04-30,KLAC,11.1,0.33,0.21,0.35
2020-05-31,KLAC,11.2,0.35,0.22,0.34
