date,asset_id,return
2020-01-31,NVDA,0.05
2020-02-29,NVDA,0.03
2020-03-31,NVDA,-0.02
2020-04-30,NVDA,0.04
2020-05-31,NVDA,0.06
2020-01-31,AMD,0.04
2020-02-29,AMD,0.05
2020-03-31,AMD,-0.01
2020-04-30,AMD,0.03
2020-05-31,AMD,0.07
2020-01-31,INTC,0.02
2020-02-29,INTC,0.01
2020-03-31,INTC,-0.03
2020-04-30,INTC,0.02
2020-05-31,INTC,0.03
2020-01-31,QCOM,0.03
2020-02-29,QCOM,0.04
2020-03-31,QCOM,-0.02
2020-04-30,QCOM,0.02
2020-05-31,QCOM,0.05
2020-01-31,TXN,0.01
2020-02-29,TXN,0.02
2020-03-31,TXN,-0.01
2020-04-30,TXN,0.01
2020-05-31,TXN,0.02
2020-01-31,AVGO,0.03
2020-02-29,AVGO,0.04
2020-03-31,AVGO,-0.02
2020-04-30,AVGO,0.03
2020-05-31,AVGO,0.05
2020-01-31,ASML,0.04
2020-02-29,ASML,0.05
2020-03-31,ASML,-0.01
2020-04-30,ASML,0.04
2020-05-31,ASML,0.06
2020-01-31,ADI,0.02
2020-02-29,ADI,0.03
2020-03-31,ADI,-0.01
2020-04-30,ADI,0.02
2020-05-31,ADI,0.04
2020-01-31,MU,0.05
2020-02-29,MU,0.06
2020-03-31,MU,-0.03
2020-04-30,MU,0.04
2020-05-31,MU,0.07
2020-01-31,KLAC,0.03
2020-02-29,KLAC,0.04
2020-03-31,KLAC,-0.02
2020-04-30,KLAC,0.03
2020-05-31,KLAC,0.05
